gender,race_ethnicity,level_of_education,language_proficiency,training_manuals,hr_interview_score,x_ray_module_assessment_score,etd_module_assessment_score,phy_module_assessment_score,dg_module_assessment_score,tsa_test_score,cbp_test_score,Certification_exam_score
female,group E,high school,fluent,none,94,105,94,100,96,93,90,99
female,group A,some high school,fluent,none,77,89,77,83,82,83,77,71
female,group E,high school,intermediate,none,85,96,85,91,89,86,87,81
female,group C,associate's degree,fluent,none,50,62,50,56,57,59,51,40
female,group B,associate's degree,intermediate,none,54,66,54,60,60,61,55,46
male,group C,some high school,fluent,none,70,81,70,76,71,72,62,75
female,group A,high school,intermediate,provided,83,95,83,89,89,88,85,77
female,group E,associate's degree,fluent,none,52,64,52,58,56,51,54,51
male,group D,associate's degree,fluent,none,75,87,75,81,79,79,74,72
male,group C,associate's degree,fluent,provided,94,106,94,100,100,100,95,87
female,group B,high school,fluent,provided,74,86,74,80,80,74,81,66
male,group D,some high school,fluent,none,79,90,79,85,82,78,78,81
male,group D,some college,fluent,provided,79,91,79,85,84,83,79,76
male,group A,high school,fluent,none,93,105,93,99,97,96,92,91
male,group D,some college,intermediate,provided,64,75,64,70,66,60,63,69
male,group D,high school,intermediate,none,72,83,72,78,74,74,66,75
male,group A,associate's degree,intermediate,none,53,62,50,56,55,57,44,47
male,group C,some high school,fluent,provided,69,81,69,75,73,73,68,67
male,group B,high school,intermediate,none,48,60,48,54,52,51,46,48
other,group C,associate's degree,fluent,none,57,69,57,63,62,61,58,52
male,group B,some college,intermediate,none,60,72,60,66,63,60,60,60
female,group B,high school,fluent,none,80,91,80,86,85,84,80,75
female,group C,some high school,intermediate,none,50,62,50,56,55,53,53,43
male,group B,high school,intermediate,provided,88,100,88,94,92,90,88,87
female,group E,some college,fluent,provided,76,87,76,82,80,78,76,73
male,group A,some high school,fluent,provided,43,55,43,49,46,41,43,46
male,group D,some college,fluent,none,80,91,80,86,80,73,78,88
male,group D,associate's degree,fluent,none,75,86,75,81,76,75,69,80
female,group C,associate's degree,fluent,none,52,63,52,58,56,53,53,49
female,group B,some high school,limitted,none,26,38,26,32,32,32,28,18
female,group C,some college,fluent,none,61,73,61,67,67,64,65,54
female,group C,some college,intermediate,provided,69,81,69,75,74,73,71,63
female,group D,high school,fluent,none,60,72,60,66,66,66,62,51
female,group C,some college,intermediate,provided,78,90,78,84,86,85,85,64
female,group C,associate's degree,fluent,none,54,66,54,60,60,58,57,46
male,group E,some high school,fluent,provided,82,94,82,88,84,84,76,87
female,group E,some high school,intermediate,none,73,85,73,79,76,74,72,74
male,group D,associate's degree,intermediate,none,52,63,52,58,55,54,48,53
male,group E,some high school,fluent,provided,83,95,83,89,85,84,77,89
male,group D,associate's degree,intermediate,provided,80,92,80,86,84,82,80,79
female,group B,associate's degree,fluent,none,59,71,59,65,64,58,65,53
female,group B,some high school,fluent,none,65,77,65,71,71,67,72,57
female,group D,some high school,fluent,none,84,96,84,90,89,90,82,80
male,group D,high school,intermediate,provided,65,77,65,71,69,64,67,64
female,group D,some high school,intermediate,none,58,70,58,64,64,64,59,50
female,group D,high school,fluent,none,97,109,97,103,102,100,100,92
male,group A,high school,fluent,none,68,80,68,74,71,70,66,68
female,group A,associate's degree,fluent,provided,70,81,70,76,75,70,74,65
male,group C,some college,fluent,none,59,70,59,65,60,59,52,66
male,group B,some college,fluent,provided,86,97,86,92,89,84,86,87
female,group B,associate's degree,fluent,provided,90,102,90,96,94,90,91,90
female,group D,some college,intermediate,none,81,93,81,87,87,86,84,73
male,group D,some college,intermediate,none,61,72,61,67,65,62,61,59
male,group C,associate's degree,intermediate,none,65,76,65,71,67,65,61,68
female,group C,some high school,intermediate,none,52,63,52,58,56,56,51,48
female,group C,some high school,intermediate,provided,38,50,38,44,44,40,44,29
male,group D,some college,fluent,provided,72,84,72,78,78,77,74,65
male,group B,high school,fluent,none,65,76,65,71,67,65,60,70
male,group E,high school,fluent,provided,68,79,68,74,71,64,70,70
male,group D,associate's degree,fluent,none,45,57,45,51,50,52,43,40
male,group E,associate's degree,fluent,provided,71,83,71,77,74,74,68,71
female,group B,high school,fluent,none,62,74,62,68,66,62,63,62
female,group D,high school,intermediate,none,79,91,79,85,84,79,84,73
male,group E,associate's degree,fluent,none,79,90,79,85,80,74,76,87
male,group D,high school,intermediate,provided,75,87,75,81,79,71,80,74
female,group E,high school,intermediate,none,52,64,52,58,57,56,54,45
male,group D,some high school,intermediate,provided,79,91,79,85,82,79,79,80
female,group E,high school,fluent,provided,92,109,96,102,100,99,100,94
male,group A,some high school,intermediate,none,78,90,78,84,81,82,73,79
male,group C,some high school,intermediate,none,73,85,73,79,75,76,65,79
male,group C,associate's degree,intermediate,provided,66,77,66,72,69,67,65,65
female,group D,high school,fluent,none,59,71,59,65,64,60,63,54
male,group E,associate's degree,fluent,provided,57,68,57,63,59,56,53,62
male,group D,some college,fluent,provided,67,78,67,73,67,62,62,77
female,group D,some college,fluent,none,69,80,69,75,73,70,71,65
male,group B,high school,fluent,none,81,93,81,87,84,82,80,82
female,group A,some college,fluent,none,78,90,78,84,85,84,82,69
female,group D,high school,fluent,provided,96,108,96,102,102,99,100,88
female,group C,some high school,intermediate,none,48,60,48,54,53,50,51,44
female,group A,some college,fluent,provided,85,97,85,91,91,87,91,78
female,group A,some high school,intermediate,none,55,68,55,61,62,64,58,44
male,group C,high school,fluent,none,55,67,55,61,56,55,49,62
female,group C,high school,fluent,provided,66,78,66,72,71,64,74,60
female,group B,some high school,limitted,none,30,42,30,36,35,38,27,24
male,group A,some college,fluent,none,68,80,68,74,71,67,69,69
male,group E,associate's degree,fluent,provided,89,100,89,95,90,82,88,97
female,group C,high school,intermediate,none,38,50,38,44,43,42,39,34
female,group A,some college,intermediate,none,56,68,56,62,62,65,55,49
female,group D,some high school,fluent,none,71,83,71,77,76,71,75,68
female,group C,some college,fluent,none,57,69,57,63,62,62,56,53
female,group C,associate's degree,fluent,provided,78,90,78,84,85,84,84,65
male,group C,some college,fluent,none,50,61,50,56,50,49,42,58
female,group C,high school,fluent,provided,69,81,69,75,77,79,72,56
female,group C,associate's degree,fluent,none,73,85,73,79,78,80,71,69
female,group B,associate's degree,fluent,provided,78,91,78,84,87,86,87,61
male,group D,high school,fluent,none,50,61,50,56,52,49,47,54
female,group C,associate's degree,intermediate,none,70,82,70,76,76,75,74,60
female,group D,some college,intermediate,provided,75,87,75,81,80,78,78,70
female,group D,some college,fluent,provided,90,101,90,96,95,86,98,85
male,group C,some college,intermediate,none,57,68,57,63,58,58,49,65
male,group D,high school,fluent,provided,65,77,65,71,68,61,68,67
female,group B,high school,fluent,none,89,101,89,95,93,95,86,87
male,group C,associate's degree,fluent,none,55,66,55,61,57,54,52,58
male,group D,high school,intermediate,provided,78,90,78,84,82,77,80,78
male,group E,some college,fluent,provided,76,87,76,82,76,75,68,85
male,group A,associate's degree,fluent,none,51,63,51,57,54,53,47,54
female,group C,some high school,fluent,none,70,82,70,76,75,69,76,65
female,group C,some high school,fluent,none,74,86,74,80,79,75,78,69
female,group B,some college,fluent,none,30,42,30,36,37,38,32,19
female,group D,some high school,limitted,none,52,63,52,58,56,54,53,48
other,group A,some college,fluent,provided,84,96,84,90,90,87,90,76
female,group D,associate's degree,fluent,none,89,101,89,95,94,95,89,82
male,group E,high school,fluent,none,69,79,69,75,68,62,62,82
female,group D,high school,fluent,none,96,100,96,102,102,100,100,89
male,group D,some college,intermediate,none,68,79,68,74,68,62,64,77
male,group D,some high school,fluent,provided,82,93,82,88,86,81,86,78
female,group D,associate's degree,intermediate,none,61,73,61,67,66,65,63,56
male,group D,some high school,fluent,none,67,78,67,73,68,66,62,73
male,group C,associate's degree,fluent,none,44,55,44,50,46,43,42,46
male,group E,high school,intermediate,provided,75,86,75,81,77,74,72,79
female,group C,some college,fluent,provided,90,102,90,96,94,89,94,87
male,group D,high school,fluent,none,77,89,77,83,80,80,72,80
male,group C,associate's degree,fluent,provided,56,67,56,62,59,54,56,57
female,group B,associate's degree,fluent,none,80,91,80,86,82,80,77,82
male,group D,high school,fluent,none,73,84,73,79,76,70,75,73
male,group A,high school,intermediate,none,73,85,73,79,76,74,72,73
female,group B,high school,intermediate,provided,34,47,34,40,41,44,36,23
male,group E,high school,fluent,none,67,78,67,73,70,68,64,68
male,group B,associate's degree,fluent,provided,81,93,81,87,84,84,78,82
female,group C,high school,intermediate,none,39,51,39,45,44,41,43,33
male,group A,high school,fluent,none,63,74,63,69,66,63,62,63
female,group E,some college,intermediate,provided,83,95,83,89,89,88,85,75
male,group A,some college,fluent,none,46,58,46,52,47,43,43,53
female,group E,some college,fluent,provided,71,83,71,77,76,74,73,66
male,group E,some college,fluent,none,68,80,68,74,72,72,65,68
male,group B,high school,fluent,none,57,68,57,63,59,55,54,62
female,group E,some college,intermediate,provided,50,62,50,56,56,55,54,42
female,group D,some high school,fluent,none,59,70,59,65,62,58,59,59
male,group C,high school,fluent,none,68,80,68,74,71,67,67,71
male,group C,some college,fluent,provided,91,100,91,97,92,86,90,98
female,group C,high school,fluent,provided,97,100,97,103,102,100,99,92
female,group E,high school,intermediate,provided,97,100,97,103,102,100,100,92
female,group B,high school,fluent,provided,83,95,83,89,88,82,89,77
female,group C,some college,intermediate,none,82,94,82,88,88,83,88,76
male,group B,some high school,fluent,none,69,80,69,75,71,68,67,72
male,group B,high school,intermediate,none,71,83,71,77,76,77,70,66
female,group D,high school,intermediate,none,71,83,71,77,77,73,78,63
female,group D,associate's degree,intermediate,none,53,65,53,59,59,56,57,46
male,group D,high school,fluent,none,48,60,48,54,54,52,51,41
female,group C,some college,fluent,provided,80,85,75,81,79,72,76,70
female,group D,some high school,fluent,none,80,92,80,86,86,86,82,73
female,group D,high school,fluent,none,67,79,67,73,73,70,73,59
female,group B,associate's degree,intermediate,provided,86,98,86,92,92,94,87,76
female,group B,some high school,fluent,none,79,92,79,85,87,89,82,67
male,group D,high school,intermediate,provided,69,80,69,75,71,68,66,73
female,group D,some college,fluent,none,86,100,86,102,92,90,89,80
male,group C,high school,intermediate,none,47,59,47,53,53,56,47,37
female,group B,high school,intermediate,none,81,93,81,87,86,85,82,75
male,group A,some college,intermediate,none,58,70,58,64,62,60,57,58
female,group D,some high school,fluent,none,81,93,81,87,87,84,85,73
female,group D,high school,fluent,none,80,91,80,86,84,81,80,78
female,group E,some college,fluent,none,73,85,73,79,78,76,75,67
male,group A,high school,intermediate,none,66,78,66,72,71,72,65,62
male,group B,some college,intermediate,provided,76,87,76,82,80,77,76,74
female,group C,some high school,fluent,none,56,68,56,62,62,63,56,49
male,group C,high school,intermediate,none,55,66,55,61,57,53,52,59
female,group D,some college,fluent,none,72,84,72,78,77,74,74,69
male,group D,some college,fluent,none,82,94,82,88,86,82,84,81
male,group C,high school,fluent,none,73,85,73,79,75,72,69,79
female,group E,some college,fluent,none,96,100,96,102,98,92,97,100
female,group B,high school,fluent,none,73,85,73,79,79,81,73,65
female,group D,associate's degree,fluent,none,79,91,79,85,84,81,83,74
male,group A,high school,fluent,none,71,82,71,77,72,67,68,77
male,group D,high school,intermediate,none,47,58,47,53,49,42,48,50
male,group B,associate's degree,fluent,none,82,93,82,88,83,85,73,87
female,group B,associate's degree,fluent,none,83,95,83,89,87,86,83,80
male,group B,associate's degree,fluent,none,48,59,48,54,47,42,41,61
female,group B,high school,fluent,provided,65,77,65,71,71,70,68,58
female,group B,some high school,fluent,none,69,80,69,75,72,64,72,70
female,group C,high school,intermediate,none,55,68,55,61,63,62,61,43
female,group C,high school,fluent,none,75,87,75,81,78,76,74,76
male,group C,high school,intermediate,provided,70,81,70,76,73,66,72,72
female,group C,some college,fluent,none,89,101,89,95,94,90,94,82
male,group A,some college,intermediate,provided,50,62,50,56,54,47,54,50
male,group A,high school,fluent,none,49,60,49,55,50,43,47,57
male,group C,associate's degree,intermediate,none,50,62,50,56,54,51,51,49
female,group D,some college,fluent,none,54,66,54,60,59,58,54,51
female,group A,some high school,intermediate,none,41,53,41,47,46,43,43,38
female,group D,high school,fluent,none,65,76,65,71,68,67,62,65
female,group C,high school,fluent,provided,60,72,60,66,66,61,66,52
male,group C,high school,fluent,none,64,75,64,70,65,60,61,71
female,group B,high school,fluent,none,68,80,68,74,73,72,70,61
male,group B,high school,fluent,provided,49,60,49,55,51,49,46,52
female,group E,some college,intermediate,none,56,68,56,62,60,58,57,53
female,group C,some college,fluent,provided,91,100,91,97,96,93,93,88
female,group E,associate's degree,intermediate,provided,66,78,66,72,72,68,73,57
female,group C,some high school,fluent,provided,50,62,50,56,55,51,55,44
male,group C,high school,fluent,provided,68,79,68,74,70,67,64,72
female,group E,high school,intermediate,none,65,76,65,71,68,62,68,64
male,group D,associate's degree,fluent,provided,85,97,85,91,88,84,85,87
male,group C,associate's degree,intermediate,none,57,68,57,63,61,61,54,55
male,group B,high school,intermediate,none,62,73,62,68,62,56,57,73
female,group D,high school,intermediate,none,51,63,51,57,58,59,54,40
female,group E,high school,fluent,none,40,52,40,46,44,45,38,37
female,group B,high school,fluent,none,57,69,57,63,63,62,60,48
female,group D,some college,fluent,none,82,94,82,88,86,86,81,79
female,group C,associate's degree,fluent,none,66,78,66,72,72,73,68,58
male,group C,high school,fluent,none,62,74,62,68,66,67,58,62
female,group D,associate's degree,fluent,none,65,77,65,71,70,70,65,59
male,group D,some high school,intermediate,none,54,65,54,60,55,49,52,62
female,group D,high school,fluent,provided,77,89,77,83,82,76,83,71
female,group A,high school,fluent,none,54,65,54,60,58,53,58,50
female,group E,high school,intermediate,provided,73,85,73,79,78,74,78,66
male,group C,some high school,fluent,none,60,72,60,66,63,64,55,62
female,group B,high school,fluent,provided,76,88,76,82,83,81,81,65
female,group C,some college,fluent,none,66,78,66,72,72,67,72,58
male,group C,associate's degree,fluent,provided,78,89,78,84,80,75,77,82
female,group C,some college,fluent,none,76,87,76,82,80,76,78,73
male,group C,associate's degree,fluent,none,94,105,94,100,96,93,91,97
female,group E,associate's degree,fluent,provided,84,96,84,90,88,85,86,82
male,group B,some high school,fluent,none,82,94,82,88,84,84,75,88
male,group D,high school,fluent,none,54,65,54,60,56,50,54,57
female,group E,high school,intermediate,none,60,72,60,66,63,58,62,61
female,group B,high school,intermediate,none,69,81,69,75,74,73,71,64
female,group C,high school,intermediate,provided,49,61,49,55,55,51,54,43
female,group E,high school,fluent,none,49,61,49,55,52,50,47,50
male,group B,associate's degree,fluent,none,75,87,75,81,77,73,72,81
female,group B,high school,fluent,provided,76,88,76,82,82,83,78,68
male,group D,high school,fluent,none,66,78,66,72,69,69,63,66
female,group D,some college,intermediate,none,71,83,71,77,77,74,75,64
male,group C,some college,intermediate,provided,70,82,70,76,75,74,70,67
female,group D,high school,fluent,provided,75,87,75,81,80,75,81,68
male,group A,associate's degree,intermediate,none,59,71,59,65,62,61,55,62
female,group C,some high school,fluent,none,77,89,77,83,81,75,82,74
female,group B,high school,fluent,none,93,104,93,99,97,95,93,90
female,group E,associate's degree,intermediate,none,53,65,53,59,58,56,54,50
male,group C,associate's degree,intermediate,none,69,80,69,75,71,68,66,73
male,group C,high school,intermediate,provided,68,80,68,74,74,68,75,62
female,group D,associate's degree,intermediate,none,56,67,56,62,60,59,56,52
male,group C,associate's degree,fluent,none,62,73,62,68,65,65,58,62
male,group B,associate's degree,fluent,provided,64,76,64,70,67,65,63,65
female,group B,high school,fluent,none,60,71,60,66,64,62,59,58
female,group C,high school,intermediate,none,45,57,45,51,51,53,46,35
male,group C,high school,intermediate,provided,45,56,45,51,48,42,46,46
female,group D,high school,fluent,none,71,83,71,77,76,72,74,67
female,group C,associate's degree,fluent,provided,86,98,86,92,90,85,90,83
female,group B,high school,fluent,none,62,74,62,68,68,64,68,54
female,group B,some college,intermediate,none,62,73,62,68,66,61,66,58
male,group D,some college,fluent,none,61,72,61,67,64,63,59,60
male,group D,high school,fluent,none,79,91,79,85,82,82,74,82
female,group E,high school,intermediate,none,64,76,64,70,70,72,65,56
male,group C,associate's degree,fluent,none,78,89,78,84,79,72,78,83
male,group B,some college,fluent,none,71,82,71,77,72,67,67,79
female,group D,high school,fluent,none,89,107,94,100,100,100,100,87
female,group D,associate's degree,fluent,none,68,80,68,74,72,69,70,65
female,group B,high school,fluent,none,62,74,62,68,69,65,69,52
female,group C,associate's degree,intermediate,none,67,79,67,73,74,78,67,57
male,group C,high school,fluent,provided,84,95,84,90,85,81,79,91
female,group D,associate's degree,intermediate,provided,84,96,84,90,91,90,88,75
male,group C,associate's degree,intermediate,none,55,67,55,61,58,55,53,58
male,group D,associate's degree,intermediate,none,71,83,71,77,73,66,73,75
male,group B,some college,intermediate,none,69,81,69,75,71,68,65,75
male,group E,high school,fluent,none,75,86,75,81,76,73,69,84
female,group C,some college,fluent,provided,74,86,74,80,81,78,80,63
male,group C,associate's degree,intermediate,provided,69,80,69,75,73,73,68,65
female,group B,high school,fluent,none,73,84,73,79,76,72,74,72
female,group D,high school,fluent,provided,75,87,75,81,80,77,78,69
female,group A,some high school,intermediate,none,52,64,52,58,57,59,50,47
male,group E,high school,fluent,none,74,85,74,80,75,76,65,80
male,group E,associate's degree,intermediate,provided,98,109,98,104,100,100,93,100
other,group D,high school,fluent,none,86,98,86,92,90,84,89,85
female,group C,associate's degree,fluent,provided,77,89,77,83,82,75,83,74
male,group B,high school,fluent,none,63,74,63,69,67,68,60,60
female,group D,some college,fluent,provided,92,104,92,98,98,97,96,82
male,group C,some college,fluent,provided,79,90,79,85,82,79,78,79
female,group C,some college,fluent,provided,82,95,82,88,90,90,88,69
female,group D,some college,intermediate,none,65,77,65,71,72,71,69,55
female,group D,high school,fluent,none,63,75,63,69,69,64,70,55
female,group B,high school,fluent,none,53,64,53,59,57,53,55,50
female,group E,some college,intermediate,none,72,84,72,78,76,76,70,71
male,group A,high school,limitted,none,47,59,47,53,51,47,49,45
male,group E,associate's degree,fluent,provided,87,98,87,93,88,85,82,94
female,group D,high school,intermediate,none,69,81,69,75,75,72,74,62
female,group E,high school,fluent,none,75,87,75,81,79,81,71,74
female,group E,associate's degree,fluent,none,90,102,90,96,96,95,92,84
male,group D,high school,limitted,provided,40,51,40,46,43,42,38,39
female,group D,some high school,fluent,none,76,88,76,82,83,82,81,65
female,group C,high school,fluent,none,70,82,70,76,75,69,75,67
female,group C,high school,intermediate,none,50,62,50,56,58,61,54,35
male,group D,high school,intermediate,none,70,81,70,76,74,74,69,66
female,group D,associate's degree,intermediate,provided,88,100,88,94,95,89,98,77
male,group B,high school,fluent,none,52,63,52,58,54,48,51,57
male,group B,some college,fluent,none,51,62,51,57,52,50,45,58
female,group A,associate's degree,fluent,provided,61,73,61,67,66,65,62,55
female,group D,some college,fluent,none,65,76,65,71,69,64,67,63
female,group A,associate's degree,limitted,none,50,62,50,56,58,57,56,37
female,group C,associate's degree,fluent,none,55,66,55,61,59,55,57,52
male,group C,high school,fluent,none,88,99,88,94,91,89,86,88
male,group A,some high school,intermediate,provided,61,73,61,67,65,62,61,61
male,group D,some college,fluent,none,57,68,57,63,56,49,52,71
female,group D,associate's degree,fluent,provided,76,88,76,82,80,75,80,73
female,group C,high school,fluent,none,73,85,73,79,80,75,81,63
male,group E,associate's degree,intermediate,none,57,69,57,63,58,56,52,64
male,group C,high school,intermediate,none,62,74,62,68,68,72,59,54
male,group E,high school,fluent,none,65,76,65,71,65,64,57,73
female,group C,high school,fluent,provided,66,78,66,72,72,64,75,59
female,group B,high school,fluent,none,62,74,62,68,67,68,61,58
male,group B,high school,fluent,none,68,79,68,74,73,71,69,63
female,group D,high school,intermediate,provided,93,105,93,99,99,95,100,85
female,group C,high school,intermediate,provided,76,88,76,82,83,81,81,65
female,group B,associate's degree,fluent,none,49,60,49,55,53,49,50,47
female,group C,some high school,intermediate,provided,72,84,72,78,78,76,75,65
female,group A,high school,intermediate,provided,41,53,41,47,47,48,41,34
female,group A,high school,intermediate,provided,54,66,54,60,58,50,60,53
female,group C,some college,fluent,none,70,82,70,76,76,74,74,63
female,group A,some high school,limitted,none,45,56,45,51,48,45,45,44
male,group C,associate's degree,intermediate,none,69,80,69,75,70,67,64,77
female,group E,high school,fluent,none,71,83,71,77,76,73,75,65
female,group D,high school,fluent,provided,72,83,72,78,76,71,74,70
male,group C,associate's degree,fluent,provided,92,103,92,98,93,87,90,98
male,group E,associate's degree,intermediate,none,87,99,87,93,90,90,82,90
female,group D,some high school,fluent,none,91,103,91,97,98,97,96,81
female,group E,associate's degree,fluent,none,76,97,85,91,88,92,85,85
male,group D,associate's degree,fluent,none,66,77,66,72,67,66,60,71
female,group E,high school,fluent,provided,66,78,66,72,71,63,75,59
female,group C,some college,intermediate,none,41,53,41,47,46,44,43,35
male,group D,some high school,fluent,provided,79,90,79,85,79,74,75,88
female,group C,high school,fluent,none,86,98,86,92,91,88,90,81
female,group D,some college,intermediate,none,79,91,79,85,85,83,83,71
male,group D,some high school,fluent,none,73,85,73,79,76,74,72,74
male,group D,high school,intermediate,provided,76,88,76,82,80,79,75,74
male,group E,some college,fluent,none,58,69,58,64,59,57,52,66
male,group A,some college,limitted,none,23,35,23,29,25,23,19,28
male,group E,some college,intermediate,provided,77,88,77,83,77,74,70,87
male,group E,some college,fluent,provided,89,100,89,95,89,87,81,99
male,group E,some high school,intermediate,provided,80,92,80,86,84,83,80,78
female,group D,high school,intermediate,provided,57,69,57,63,64,58,67,47
male,group C,associate's degree,fluent,none,71,83,71,77,73,70,68,76
male,group D,some high school,fluent,provided,86,98,86,92,89,88,82,89
male,group E,some high school,intermediate,provided,66,78,66,72,67,67,59,73
female,group C,high school,intermediate,none,63,75,63,69,70,72,64,53
male,group B,high school,fluent,none,45,56,45,51,48,46,42,47
male,group D,some college,fluent,provided,99,110,99,105,102,97,99,100
female,group C,some high school,intermediate,provided,57,69,57,63,62,60,60,50
female,group C,some college,intermediate,none,62,73,62,68,66,62,64,59
female,group C,high school,intermediate,provided,83,95,83,89,89,86,89,74
female,group D,high school,intermediate,none,39,51,39,45,46,41,47,29
male,group C,high school,intermediate,none,54,66,54,60,58,59,50,54
male,group D,high school,intermediate,none,68,79,68,74,71,68,67,68
female,group A,some college,intermediate,none,59,71,59,65,62,60,57,61
female,group D,some high school,fluent,none,73,84,73,79,75,72,71,76
female,group D,some high school,fluent,provided,87,99,87,93,92,92,88,80
female,group A,some college,fluent,none,65,77,65,71,71,70,67,58
male,group A,high school,fluent,none,70,81,70,76,73,74,64,71
male,group C,some high school,intermediate,provided,53,65,53,59,57,56,53,51
male,group D,some college,intermediate,none,61,73,61,67,64,61,60,63
female,group D,some high school,intermediate,provided,50,62,50,56,58,55,60,35
female,group E,some high school,fluent,provided,83,95,83,89,88,85,85,80
female,group B,high school,intermediate,none,83,95,83,89,88,85,87,77
female,group D,high school,fluent,provided,60,71,60,66,64,58,64,57
male,group B,some high school,fluent,provided,81,92,81,87,83,83,75,84
male,group D,high school,intermediate,none,65,77,65,71,69,66,67,63
female,group C,high school,limitted,none,29,41,29,35,33,29,30,29
male,group D,some college,fluent,provided,60,72,60,66,63,55,63,63
female,group C,associate's degree,fluent,none,72,84,72,78,78,76,76,65
female,group C,high school,fluent,provided,86,98,86,92,91,91,87,81
female,group C,high school,intermediate,provided,77,90,77,83,84,83,83,66
female,group C,some high school,fluent,provided,73,85,73,79,78,74,77,67
female,group C,some high school,fluent,none,68,80,68,74,73,73,68,63
male,group E,associate's degree,fluent,none,66,78,66,72,68,64,63,72
female,group C,high school,intermediate,provided,60,72,60,66,67,66,64,50
male,group E,high school,fluent,none,94,99,88,94,91,85,84,90
male,group B,high school,fluent,provided,71,82,71,77,73,71,68,73
male,group E,associate's degree,intermediate,provided,71,83,71,77,73,69,68,77
female,group C,high school,fluent,provided,70,82,70,76,77,75,77,58
male,group D,high school,fluent,none,74,86,74,80,77,73,74,75
female,group C,some college,fluent,provided,74,86,74,80,78,71,80,71
female,group C,associate's degree,fluent,provided,79,91,79,85,86,84,86,67
male,group D,some high school,fluent,provided,69,81,69,75,72,69,68,71
male,group B,some high school,intermediate,none,48,60,48,54,52,52,45,48
male,group D,some college,fluent,none,73,85,73,79,76,71,73,76
female,group B,associate's degree,fluent,none,65,77,65,71,71,69,68,57
male,group D,some college,fluent,none,55,67,55,61,58,58,52,55
male,group B,associate's degree,fluent,none,59,70,59,65,60,54,57,65
female,group D,high school,intermediate,none,87,99,87,93,93,90,93,78
female,group C,high school,fluent,provided,90,99,88,94,94,92,89,79
male,group D,high school,fluent,none,80,91,80,86,81,78,75,88
female,group D,high school,intermediate,provided,70,82,70,76,76,71,78,61
female,group D,associate's degree,intermediate,provided,69,81,69,75,76,74,76,57
female,group C,associate's degree,fluent,none,87,98,87,93,89,86,84,91
female,group B,associate's degree,fluent,none,76,88,76,82,81,76,80,73
female,group B,some high school,intermediate,provided,64,76,64,70,71,67,72,52
male,group C,some high school,intermediate,provided,64,76,64,70,69,69,65,59
female,group D,some high school,limitted,none,31,43,31,37,36,34,32,27
female,group C,high school,limitted,none,59,71,59,65,65,65,61,52
female,group D,high school,fluent,none,78,90,78,84,83,79,82,74
male,group D,associate's degree,fluent,none,87,99,87,93,90,87,85,90
male,group B,some college,fluent,provided,93,104,93,99,97,96,91,91
female,group E,associate's degree,intermediate,none,76,87,76,82,80,76,78,73
female,group C,associate's degree,fluent,none,53,66,53,59,61,64,57,39
female,group D,some high school,fluent,none,70,83,70,76,77,72,80,59
female,group A,some college,fluent,none,61,73,61,67,67,63,67,54
male,group D,associate's degree,intermediate,none,64,75,64,70,67,62,64,66
female,group B,associate's degree,fluent,none,77,89,77,83,82,83,76,73
female,group A,some college,fluent,provided,78,90,78,84,83,79,82,72
male,group A,some college,intermediate,none,77,88,77,83,81,81,74,75
male,group B,associate's degree,intermediate,none,57,68,57,63,60,56,57,57
male,group A,associate's degree,fluent,none,62,73,62,68,65,61,61,63
male,group C,associate's degree,fluent,none,72,83,72,78,76,77,69,69
male,group D,some high school,fluent,provided,71,83,71,77,73,68,69,77
male,group C,high school,fluent,provided,55,66,55,61,57,52,54,58
female,group C,some college,fluent,none,67,78,67,73,72,69,69,62
male,group A,some high school,fluent,provided,48,60,48,54,52,49,49,47
female,group D,associate's degree,fluent,none,74,86,74,80,77,74,73,76
female,group C,associate's degree,fluent,none,72,84,72,78,78,77,74,65
female,group D,some college,intermediate,provided,71,83,71,77,78,78,76,59
female,group D,some high school,intermediate,none,78,91,78,84,85,84,84,67
female,group D,some high school,fluent,none,58,70,58,64,64,63,61,51
male,group D,high school,intermediate,provided,88,99,88,94,92,89,90,84
female,group C,associate's degree,fluent,provided,97,109,97,103,101,96,99,96
male,group C,associate's degree,intermediate,provided,80,92,80,86,84,81,82,78
other,group A,high school,intermediate,provided,41,53,41,47,47,48,41,34
female,group A,some high school,fluent,none,60,72,60,66,67,66,65,48
male,group B,high school,intermediate,none,60,72,60,66,63,63,56,62
male,group B,,fluent,none,44,55,44,50,46,43,41,47
male,group E,some high school,fluent,none,86,97,86,92,87,87,78,92
male,group B,some high school,fluent,provided,66,77,66,72,70,67,67,63
male,group A,some high school,fluent,none,61,72,61,67,61,62,50,71
male,group E,high school,fluent,none,79,90,79,85,78,73,71,94
female,group D,,fluent,none,73,84,73,79,77,72,77,69
female,group C,high school,intermediate,provided,58,71,58,64,65,62,66,47
male,group E,associate's degree,fluent,none,80,91,80,86,80,76,74,89
female,group B,high school,intermediate,none,78,89,78,84,81,79,76,78
male,group C,some college,intermediate,none,66,77,66,72,68,68,61,68
female,group D,high school,fluent,none,69,81,69,75,75,70,75,62
female,group C,associate's degree,fluent,provided,82,94,82,88,88,82,90,75
female,group B,associate's degree,fluent,none,62,74,62,68,67,63,65,58
female,group D,associate's degree,fluent,none,88,100,88,94,93,91,89,85
male,group C,high school,fluent,none,76,87,76,82,79,81,71,75
